transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220124-1053690729405927611	0	36901	2022-01-24 21:12:43.559	1	1	5451733	2
20220124-58270070886550743	0	8328	2022-01-24 20:10:02.695	4	4	9585409	2
20220124-8089522969910123240	-1	20022	2022-01-24 02:03:27.310	2	2	3888663	4
20220124-2053234515358503951	0	7855	2022-01-24 04:32:58.434	5	5	2377271	3
20220124--4121539332704056175	-1	13506	2022-01-24 15:16:40.299	1	1	4045372	2
20220124-6047444142127457722	1	3591	2022-01-24 15:52:34.189	4	4	8894546	1
20220124--9051919887237641180	-1	28734	2022-01-24 02:36:25.387	4	4	8976938	2
20220124-4595567255060034319	1	12601	2022-01-24 21:47:43.311	1	1	13361	4
20220124-3597499407000746331	0	32838	2022-01-24 02:47:40.646	5	5	431849	1
20220124--1440477891132854636	-1	17846	2022-01-24 21:32:08.705	5	5	1126999	3
20220124-8240021502847135059	-1	5799	2022-01-24 07:14:27.652	58	3	1391063	4
20220124--9196278504765114744	-1	16817	2022-01-24 04:23:14.355	5	5	9985864	3
20220124--8201699388840835778	1	2800	2022-01-24 07:11:31.122	1	1	2029548	2
20220124-8690813999688157056	0	27066	2022-01-24 14:25:09.611	93	3	6006559	4
20220124-2975953430727339698	0	27075	2022-01-24 04:20:30.258	39	3	3446094	4
20220124-6126570891345037490	1	39092	2022-01-24 22:01:51.741	1	1	6215464	3
20220124--295178346249287754	0	12740	2022-01-24 16:21:25.108	5	5	2030581	3
20220124--7379829158195842459	1	18660	2022-01-24 17:31:52.177	49	3	1692665	1
20220124-8073742451039161219	-1	4356	2022-01-24 04:47:10.488	31	3	7410110	3
20220124--3668604020537219182	-1	8560	2022-01-24 17:09:09.757	4	4	6440391	3
20220124--3865144844958674839	-1	17319	2022-01-24 02:52:55.111	27	3	7109120	4
20220124-3849693657293828492	-1	24523	2022-01-24 12:16:05.216	2	2	8737640	3
20220124-6980228518481326882	0	15833	2022-01-24 05:31:08.787	5	5	4377738	4
20220124-3404898240133681962	1	23523	2022-01-24 04:10:26.237	1	1	492686	2
20220124--6794855114847209613	-1	8574	2022-01-24 01:53:56.585	1	1	3613892	4
20220124--8763777262525232254	0	18763	2022-01-24 19:12:53.694	5	5	6176515	4
20220124-478747889404063784	0	11613	2022-01-24 12:33:33.537	4	4	9929895	3
20220124-8256930599516575343	-1	25850	2022-01-24 07:15:07.170	1	1	7667421	3
20220124--5866925109246041646	-1	39256	2022-01-24 17:26:50.894	35	3	9927639	1
20220124-4698108508153799387	-1	36466	2022-01-24 04:26:48.285	2	2	7155908	4
20220124-2789817763185865030	-1	25323	2022-01-24 14:54:27.310	81	3	6706241	3
20220124-2184880105735693202	1	22399	2022-01-24 06:43:36.460	5	5	2048316	3
20220124--2672713451007252697	1	20068	2022-01-24 10:35:20.082	2	2	6834491	4
20220124-7274302150653654010	-1	37769	2022-01-24 13:13:51.771	1	1	9483708	2
20220124--2399677314829701540	1	14187	2022-01-24 16:21:33.941	5	5	6287105	1
20220124-3278110558514107122	-1	617	2022-01-24 00:05:22.864	2	2	8131367	1
20220124-7611311231116057103	-1	17157	2022-01-24 15:14:12.875	4	4	6368901	3
20220124-3923472105435964901	1	17211	2022-01-24 02:22:49.249	5	5	6697820	2
20220124-247150375735246102	-1	13869	2022-01-24 00:55:51.284	5	5	5292545	4
20220124-3154573285314967364	0	34076	2022-01-24 15:12:05.184	5	5	1387863	1
20220124-3761499713098650195	0	21291	2022-01-24 05:15:30.552	1	1	9751086	3
20220124-1600424754496172040	1	23844	2022-01-24 23:20:37.584	1	1	8660829	3
