transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220107--8642188653367196470	-1	32124	2022-01-07 04:16:15.798	5	5	3920117	1
20220107-7500239437482320710	1	18811	2022-01-07 10:36:59.031	4	4	7589318	3
20220107-1548524644877381820	-1	9508	2022-01-07 16:14:20.558	5	5	3592032	4
20220107--5572819617289054340	-1	5993	2022-01-07 03:02:05.716	2	2	1321929	4
20220107-4370883772576921750	-1	10545	2022-01-07 01:42:36.101	5	5	2618002	3
20220107--2800655634808189821	0	4855	2022-01-07 05:56:15.717	5	5	3440505	2
20220107-2676681579583068076	-1	14445	2022-01-07 19:59:28.521	1	1	2958555	1
20220107--5262592632771195390	-1	38813	2022-01-07 11:15:47.831	4	4	3641540	3
20220107--4086879588875137544	0	37841	2022-01-07 20:46:39.642	4	4	363090	1
20220107--3071415545799284245	1	18831	2022-01-07 22:25:40.544	4	4	3066472	1
20220107--2655099447905927036	1	36208	2022-01-07 03:33:18.472	4	4	8240110	2
20220107--2622155889630908157	-1	37561	2022-01-07 12:55:12.997	5	5	2373712	4
20220107--4934107989310136965	-1	23180	2022-01-07 03:53:00.529	4	4	3409780	3
20220107-7082674991564683493	0	7113	2022-01-07 01:57:04.530	1	1	311184	3
20220107--952552127681033700	1	26114	2022-01-07 16:41:34.356	2	2	2462151	1
20220107--226785702294621458	-1	19082	2022-01-07 17:44:44.579	1	1	5924544	3
20220107-8292336189299241068	0	36085	2022-01-07 19:41:11.002	2	2	931542	1
20220107-4405255649829663963	-1	33874	2022-01-07 02:11:42.680	5	5	3062520	2
20220107-2427975179413053707	-1	3277	2022-01-07 09:34:24.189	4	4	3380547	4
20220107--2928224251106472267	0	13358	2022-01-07 13:17:10.576	5	5	3922426	4
20220107--6211236397065082226	-1	39521	2022-01-07 10:36:42.955	11	3	8223497	3
20220107--5296149820775039535	1	23676	2022-01-07 13:31:16.247	4	4	6801312	3
20220107--6497229581880002445	1	15663	2022-01-07 02:39:15.526	34	3	5684614	1
20220107--8460730877404787954	0	35393	2022-01-07 17:09:24.939	5	5	3959081	3
20220107-737401035753655146	-1	3657	2022-01-07 03:18:56.384	2	2	3080203	4
20220107-3518944147446873637	0	631	2022-01-07 23:16:23.371	4	4	5330601	3
