userid	voucherCode	status	campaignID	time
11358	1002-5766	USED	1002	2021-12-11 13:59:23.480
17737	1005-2339	USED	1005	2021-12-16 03:37:14.288
18846	1009-6500	USED	1009	2021-12-20 03:41:15.793
19697	1001-19600	USED	1001	2021-12-27 16:55:19.253
12306	1008-19976	USED	1008	2021-12-24 14:57:26.576
6339	1000-25754	USED	1000	2021-12-23 15:08:05.504
8676	1000-20026	USED	1000	2021-12-01 17:43:30.748
4466	1006-2880	USED	1006	2021-12-16 13:21:06.402
7910	1000-15110	USED	1000	2021-12-18 01:24:17.127
7505	1002-8941	USED	1002	2021-12-20 23:00:58.478
14209	1002-427	USED	1002	2021-12-21 00:41:09.294
3090	1001-8902	USED	1001	2021-12-18 02:06:07.875
6462	1006-18967	USED	1006	2021-12-23 02:21:22.980
2980	1007-20329	USED	1007	2021-12-11 00:22:13.191
2477	1003-17809	USED	1003	2021-12-01 13:44:00.459
9526	1009-10419	USED	1009	2021-12-07 21:38:51.778
18050	1004-20607	USED	1004	2021-12-30 02:27:25.422
13022	1005-24616	USED	1005	2021-12-27 21:40:34.798
6023	1005-26448	USED	1005	2021-12-31 06:16:01.282
5152	1000-8095	USED	1000	2021-12-11 21:21:17.827
15973	1007-16032	USED	1007	2021-12-31 14:16:50.433
9312	1009-19914	USED	1009	2021-12-06 16:16:41.198
9880	1000-8483	USED	1000	2021-12-08 13:10:34.247
13006	1002-4184	USED	1002	2021-12-03 00:57:42.556
6266	1009-10781	USED	1009	2021-12-04 06:40:04.614
1707	1003-17294	USED	1003	2021-12-16 20:52:57.863
18259	1002-6146	USED	1002	2021-12-11 15:38:52.595
3896	1003-5894	USED	1003	2021-12-08 19:46:23.287
13940	1002-25894	USED	1002	2021-12-04 13:49:33.662
3766	1009-27596	USED	1009	2021-12-28 17:27:32.327
851	1007-296	USED	1007	2021-12-19 03:07:03.322
19573	1006-10137	USED	1006	2021-12-31 14:09:00.629
14810	1008-10200	USED	1008	2021-12-30 15:59:53.989
8925	1004-23951	USED	1004	2021-12-04 21:09:05.778
18812	1004-15924	USED	1004	2021-12-03 05:17:52.153
11978	1007-14021	USED	1007	2021-12-09 22:27:04.663
13130	1004-7017	USED	1004	2021-12-15 18:46:25.333
13043	1001-9581	USED	1001	2021-12-30 04:46:35.953
9901	1001-6462	USED	1001	2021-12-31 21:07:22.161
163	1001-22281	USED	1001	2021-12-29 17:23:29.424
