transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220205--3013781912616724523	0	1090	2022-02-05 05:23:40.303	2	2	2453483	4
20220205--5931363155831760667	-1	24534	2022-02-05 06:52:33.806	4	4	4320538	4
20220205-4393150357737767085	1	37682	2022-02-05 08:26:29.090	2	2	8840375	3
20220205-6883573539815942893	0	21437	2022-02-05 22:33:09.778	5	5	9260305	3
20220205-473633275028204326	1	31138	2022-02-05 14:44:37.744	71	3	4941958	3
20220205-6411660365687093549	0	7745	2022-02-05 22:03:47.580	80	3	4282102	3
20220205-4680219172671507929	-1	36347	2022-02-05 10:08:23.233	1	1	5279455	2
20220205-5706719019020740246	-1	276	2022-02-05 18:49:37.264	2	2	4553518	1
20220205-2866367090808056237	0	38291	2022-02-05 01:00:05.696	2	2	766211	4
20220205--7780088407639441872	-1	15648	2022-02-05 03:03:18.673	4	4	7133921	3
20220205--4393397442259336300	1	25588	2022-02-05 05:06:02.843	4	4	5994024	4
20220205--1649047895011693905	1	38300	2022-02-05 06:37:21.315	1	1	9390592	1
20220205-378215462543992226	1	24915	2022-02-05 12:08:31.833	4	4	3776281	3
20220205-1024744727632775261	1	14276	2022-02-05 06:13:27.148	4	4	6315808	2
20220205--433996104501558632	1	37260	2022-02-05 08:38:34.142	4	4	9095452	4
20220205--6745796682873441717	1	10438	2022-02-05 03:33:41.845	56	3	705104	3
20220205--8996142248209850632	-1	17181	2022-02-05 21:02:42.015	1	1	8069919	3
20220205-1818800784303088885	1	20879	2022-02-05 17:34:39.375	4	4	5995517	4
20220205--2990522445240635392	0	20464	2022-02-05 18:18:38.611	4	4	1777107	3
20220205--9170860890807542123	0	28527	2022-02-05 11:04:35.428	1	1	6140647	2
20220205-1436627095967082814	1	21234	2022-02-05 23:43:58.006	5	5	5145340	1
20220205--575068973782327219	-1	15497	2022-02-05 18:47:34.312	5	5	9932868	3
20220205-2561999203037696414	1	26702	2022-02-05 01:31:17.821	4	4	7545759	4
20220205-7406446362429047420	-1	1040	2022-02-05 20:03:59.285	2	2	1585784	4
20220205-1480372186601181600	0	32764	2022-02-05 15:22:23.798	5	5	7041292	1
20220205-7498925642836101832	-1	33191	2022-02-05 19:04:43.215	5	5	1112872	3
20220205--7957554073954417705	-1	23810	2022-02-05 17:08:37.651	5	5	7372908	4
20220205-2891360012648570568	-1	18461	2022-02-05 01:43:21.649	5	5	1023629	3
20220205-8600639992087963626	-1	2735	2022-02-05 14:21:02.624	4	4	490728	4
20220205-865495795862954221	-1	27698	2022-02-05 20:55:34.449	5	5	2545813	4
20220205-6466371051112925363	-1	30813	2022-02-05 09:49:16.088	109	3	6830636	4
20220205--1623908112216507685	0	30476	2022-02-05 23:06:11.979	5	5	5655144	4
20220205-8849851916497565215	-1	38833	2022-02-05 03:52:55.095	1	1	7768767	2
20220205-4805914008372939525	-1	39735	2022-02-05 08:41:06.061	2	2	2811158	3
20220205--4191865911986572551	-1	36406	2022-02-05 14:19:04.937	2	2	3980371	4
20220205--6874723320872735198	1	4587	2022-02-05 20:14:51.897	5	5	2789809	3
20220205--8454235455156427545	-1	25123	2022-02-05 22:54:51.358	4	4	4258432	2
20220205--705164978927374735	1	6955	2022-02-05 06:49:24.728	1	1	8419423	3
20220205-430812495808564564	1	104	2022-02-05 12:58:29.868	27	3	6680660	4
