transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220130-1149765004560299168	0	16842	2022-01-30 12:51:21.276	5	5	4337483	3
20220130--6624682760437202708	0	29878	2022-01-30 23:45:28.974	4	4	8425666	1
20220130--6362824356726577468	0	14203	2022-01-30 04:21:16.583	2	2	6471912	2
20220130--6434234401007650790	-1	10559	2022-01-30 01:09:22.555	2	2	2125410	2
20220130--7512509026949095714	0	884	2022-01-30 14:06:30.924	1	1	9932934	1
20220130-6518081604421602595	0	2891	2022-01-30 23:50:01.329	1	1	7517612	3
20220130--545273989571472904	0	34428	2022-01-30 11:59:46.413	39	3	8193773	1
20220130-2080789441334846969	1	24224	2022-01-30 23:44:50.352	36	3	5545043	3
20220130--630157822351211232	0	30934	2022-01-30 06:32:43.200	4	4	6220481	1
20220130-8692081203020316095	0	18814	2022-01-30 00:20:21.269	4	4	9750429	3
20220130--309530530457898752	-1	2406	2022-01-30 19:08:38.357	4	4	700471	2
20220130-6131973404388134650	0	23560	2022-01-30 19:32:40.632	2	2	7627206	3
20220130--1480606240539170184	-1	35490	2022-01-30 07:09:52.331	2	2	2603814	4
20220130--3858340311023772333	0	16465	2022-01-30 17:04:58.148	4	4	5380947	4
20220130--1891333990209377726	-1	26811	2022-01-30 16:45:01.642	5	5	6375787	1
20220130-3784474488820822578	0	10916	2022-01-30 00:36:37.752	1	1	1874450	1
20220130--2632651190154502193	1	7009	2022-01-30 12:40:28.501	1	1	1063363	4
20220130-7035886300451360857	-1	14360	2022-01-30 05:30:12.230	5	5	7678036	3
20220130--6439997796345468072	1	38499	2022-01-30 10:45:21.585	5	5	89815	1
20220130--1195272430633353869	1	34900	2022-01-30 07:31:07.944	5	5	8747703	2
20220130-3896409994660126889	0	39027	2022-01-30 15:19:51.166	2	2	3553636	4
20220130-5620228543625193684	0	4258	2022-01-30 01:44:08.544	59	3	7529459	1
20220130--5905577502551841829	0	11043	2022-01-30 04:44:59.957	2	2	57470	1
20220130-350754689066804944	-1	23143	2022-01-30 23:56:32.895	73	3	4974832	3
20220130-10471696054246904	-1	12730	2022-01-30 03:23:41.346	1	1	2059285	2
20220130--2812096497670887968	0	776	2022-01-30 10:10:23.905	4	4	2366160	2
20220130-1630522734433630039	-1	10361	2022-01-30 21:45:19.844	4	4	6236031	4
20220130--7424877537617357920	-1	34408	2022-01-30 10:25:42.899	1	1	3275823	3
20220130-253706580102537955	1	32495	2022-01-30 11:51:48.410	5	5	7016645	4
20220130-879508535113869110	-1	5607	2022-01-30 22:40:53.770	1	1	6361887	1
20220130-864306291746679274	-1	29041	2022-01-30 06:25:52.717	55	3	1910583	1
20220130--316750746081205571	1	22426	2022-01-30 20:52:36.187	2	2	8622961	1
20220130-7121856776092427405	1	23390	2022-01-30 13:00:42.722	63	3	7347565	2
20220130--5240023040887067846	1	8209	2022-01-30 18:01:33.670	2	2	1072063	4
20220130-77235984245378446	-1	24941	2022-01-30 12:12:33.580	59	3	1885395	3
20220130-5534972973138620456	0	12463	2022-01-30 03:23:36.384	4	4	679158	3
20220130-189926632235503268	-1	7013	2022-01-30 15:40:25.772	1	1	9135780	1
20220130-678718889319924558	-1	8680	2022-01-30 03:03:54.814	1	1	5719153	3
20220130-380896290037293253	-1	37058	2022-01-30 23:48:59.243	4	4	1705531	1
20220130-1305999463568331563	1	36523	2022-01-30 02:23:55.980	5	5	2441430	2
20220130-364510565433181790	0	13893	2022-01-30 22:26:36.294	39	3	5829160	3
20220130--9070955139330383608	-1	33375	2022-01-30 09:58:57.445	1	1	1696553	1
20220130-7625961557805044304	-1	5737	2022-01-30 13:00:33.442	5	5	5379202	1
20220130--6469806628002893669	-1	16878	2022-01-30 15:07:09.608	5	5	1448914	4
20220130--1181696693916358617	0	6135	2022-01-30 02:29:14.848	2	2	2859616	4
20220130-4920789283235938981	-1	19458	2022-01-30 13:37:10.056	4	4	6873547	4
20220130-3657653168014875523	0	6051	2022-01-30 16:30:19.034	1	1	9196823	2
