transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220126--8925338562827753693	0	32965	2022-01-26 20:39:44.798	1	1	2153497	1
20220126--1470726764598575662	-1	11311	2022-01-26 09:29:00.985	43	3	972117	4
20220126--3467648793779946818	1	30143	2022-01-26 15:22:04.887	5	5	7046527	2
20220126--6142430695537965303	0	22515	2022-01-26 04:16:06.520	4	4	3082074	4
20220126-5161430008691539302	0	28834	2022-01-26 07:45:54.851	5	5	2664941	4
20220126-4936142061687763055	-1	10787	2022-01-26 09:19:57.806	1	1	6222913	4
20220126--2229464089159248858	1	3674	2022-01-26 11:59:36.139	1	1	9938849	4
20220126-4907599624888249058	0	801	2022-01-26 09:56:37.789	2	2	9637433	3
20220126--5740250045527075807	0	419	2022-01-26 18:29:43.272	59	3	7405031	2
20220126-6989396463422608233	1	8920	2022-01-26 06:18:53.729	35	3	4541684	3
20220126--6547458518929277906	1	22522	2022-01-26 06:43:34.411	5	5	106262	2
20220126--2559228216650857968	0	33783	2022-01-26 12:20:26.771	102	3	2983465	2
20220126--6489155584306293516	-1	39118	2022-01-26 18:14:45.037	2	2	5556329	3
20220126-4631852727276078250	1	2353	2022-01-26 01:45:58.267	2	2	3587739	3
20220126-7309865258190399506	0	33029	2022-01-26 18:49:17.076	5	5	227137	1
20220126-4301101766877029875	0	20291	2022-01-26 23:37:13.045	5	5	6713905	4
20220126-4856050943965765685	0	2777	2022-01-26 04:50:12.422	1	1	7455007	2
20220126--7569473008118027124	1	35816	2022-01-26 23:13:11.827	37	3	7215799	1
20220126--3188316335624310023	1	28058	2022-01-26 12:27:41.613	2	2	9007544	4
20220126--7993764408866234191	1	14614	2022-01-26 14:10:26.267	1	1	8208072	3
20220126--3986765496679426942	0	7983	2022-01-26 19:52:21.300	5	5	7911540	1
20220126-8210409366911303112	1	5531	2022-01-26 20:45:38.473	4	4	4937315	1
20220126--6773173625407272256	0	28780	2022-01-26 02:25:57.450	5	5	17891	2
20220126-6444067498180066443	0	27294	2022-01-26 20:06:43.409	5	5	7663125	1
20220126--1546818925659442239	1	15825	2022-01-26 17:27:52.241	1	1	935112	1
20220126-1427917069459681066	1	14179	2022-01-26 03:04:35.875	1	1	8773693	1
20220126-2608167429618164887	0	21181	2022-01-26 10:44:56.765	60	3	3226005	3
20220126--8874983818248269787	1	6621	2022-01-26 21:41:33.062	4	4	5169328	2
20220126-7567989280072867167	0	26369	2022-01-26 20:15:36.788	4	4	7418324	4
20220126--6858815117461372335	1	37955	2022-01-26 17:06:45.196	1	1	7621075	3
20220126-4980999191321508185	-1	16444	2022-01-26 06:31:34.115	2	2	5950245	4
20220126--9104339218303272553	0	7500	2022-01-26 13:59:59.856	4	4	9992575	2
20220126-6584407925603558312	1	1371	2022-01-26 17:56:03.283	2	2	6488519	1
20220126--1653337607471910614	1	26647	2022-01-26 15:54:09.647	1	1	1412313	2
20220126--1679346928531241689	-1	24231	2022-01-26 14:26:08.234	4	4	8113472	2
20220126--1286304193812034403	0	31008	2022-01-26 10:44:57.199	4	4	2595029	4
20220126--8621588612252377670	1	37877	2022-01-26 11:24:11.366	5	5	3197642	4
20220126--2076004348397839476	-1	8128	2022-01-26 19:58:36.634	1	1	6491332	3
20220126--1794087387080488397	1	4346	2022-01-26 00:03:10.266	5	5	8685241	4
20220126-8156251075880348386	1	5314	2022-01-26 04:12:54.792	5	5	4540707	2
20220126-6504249721641442871	-1	31988	2022-01-26 10:07:10.961	90	3	5329085	4
20220126-9206738145061752974	-1	3064	2022-01-26 09:08:58.844	5	5	5732296	1
20220126--7372854005515749571	1	8667	2022-01-26 03:29:44.245	5	5	3540931	1
20220126--8058935399721106128	-1	6356	2022-01-26 14:06:11.628	5	5	7001024	2
20220126-598994234786529097	-1	13388	2022-01-26 12:16:32.770	5	5	9157933	2
20220126--7681356221707877997	1	36861	2022-01-26 13:54:39.642	2	2	193239	3
20220126-4543769191505535077	1	14804	2022-01-26 20:52:02.233	4	4	2415662	2
20220126-2630600167917444690	0	17308	2022-01-26 16:56:54.875	4	4	922652	3
20220126-7029855034566261043	0	20083	2022-01-26 12:11:32.280	85	3	9431787	3
20220126--6144516881108772071	0	27354	2022-01-26 12:31:45.577	68	3	6447269	3
20220126--4362667523624713826	-1	36151	2022-01-26 04:30:55.634	1	1	5902041	1
20220126-7768332315550315662	0	18767	2022-01-26 19:53:33.685	1	1	5244623	3
20220126-7377542081835773744	0	5063	2022-01-26 17:41:43.838	2	2	3146008	4
20220126--14062988855161993	1	14828	2022-01-26 21:50:41.518	2	2	360674	2
20220126-1721383169984778018	-1	10233	2022-01-26 18:07:45.519	40	3	9526278	4
20220126-1446731103740535471	-1	3555	2022-01-26 03:04:50.923	1	1	8378475	4
20220126-6792780466031699807	0	29863	2022-01-26 13:14:18.606	2	2	9344783	2
20220126-4456868189391337291	-1	14926	2022-01-26 16:44:38.665	2	2	6249969	3
20220126-7056923275951430106	0	10251	2022-01-26 15:28:09.654	4	4	8356525	4
20220126--9064088060714713016	-1	5725	2022-01-26 08:33:12.955	2	2	7773079	2
20220126--2024317681583783388	-1	12353	2022-01-26 06:01:18.578	5	5	4979398	3
20220126-6147773055597916188	0	7906	2022-01-26 22:03:09.224	24	3	8286441	4
20220126--5999741171306841148	-1	13279	2022-01-26 10:42:21.281	5	5	8118564	2
20220126-5977002164015287577	1	25683	2022-01-26 12:56:47.592	103	3	2733262	2
20220126--4344192070810534260	1	15216	2022-01-26 01:39:11.101	2	2	2535549	2
20220126--7116782566578221829	0	6889	2022-01-26 00:40:59.063	64	3	6138285	1
20220126-4958440261610561086	0	18732	2022-01-26 20:40:10.957	48	3	2405347	3
20220126--5523418219704191928	0	36838	2022-01-26 23:44:29.855	32	3	7437632	1
20220126--3010819829715854078	0	7009	2022-01-26 23:41:57.379	1	1	279513	4
20220126--2943511282949173004	1	36743	2022-01-26 05:04:37.902	5	5	5463652	4
20220126--5904994010041829693	1	8647	2022-01-26 21:10:55.699	23	3	2423871	2
20220126--1794414722954696799	1	28740	2022-01-26 16:17:38.609	95	3	5303405	2
20220126-6152685742164277181	0	35239	2022-01-26 00:41:46.794	2	2	9285269	1
20220126-1855948916655194877	1	34202	2022-01-26 01:23:39.698	2	2	6331230	1
20220126--164416042071427516	-1	31062	2022-01-26 08:26:21.745	95	3	937265	1
20220126-1565385811080226599	0	19523	2022-01-26 01:05:37.702	4	4	6155044	2
20220126--1641056126265933265	0	6124	2022-01-26 09:39:06.178	4	4	642467	3
20220126--1483804216156397669	-1	32535	2022-01-26 01:16:20.505	1	1	3030960	2
20220126-5041188575861993245	0	11370	2022-01-26 17:10:00.610	2	2	9523666	4
20220126-2030245915009111925	-1	10713	2022-01-26 02:40:47.527	17	3	411438	1
20220126--8741773366875452572	0	21774	2022-01-26 09:43:51.976	5	5	7760915	4
20220126--2018059314674704277	1	35431	2022-01-26 18:28:14.617	1	1	2701147	1
20220126--2318721835066458538	-1	13718	2022-01-26 06:39:04.530	1	1	7335030	1
20220126-5364930709629632971	1	27462	2022-01-26 00:15:41.282	1	1	5295883	2
20220126-4426291418861590507	1	25827	2022-01-26 20:14:49.203	57	3	1201622	3
20220126-7937931049204079235	0	1655	2022-01-26 15:24:34.216	2	2	7013149	1
20220126--1731199261316700420	-1	34443	2022-01-26 14:42:19.506	4	4	4774948	2
20220126-1447568987166786889	1	12555	2022-01-26 07:44:24.385	1	1	3709383	3
20220126-159702555310552200	1	31969	2022-01-26 06:39:58.833	4	4	1802147	1
20220126--4165138607649826585	1	27911	2022-01-26 11:39:50.507	4	4	3140849	2
20220126-7428879127189357852	0	37270	2022-01-26 05:43:59.872	4	4	2749797	2
20220126-8754875383740800573	0	32565	2022-01-26 08:50:47.951	5	5	1445547	1
20220126-2778093412552942533	0	23443	2022-01-26 04:51:32.930	44	3	9501087	2
20220126--5967163926953214059	0	27320	2022-01-26 04:43:12.042	2	2	5959929	4
20220126--3531566637667098406	-1	37209	2022-01-26 18:55:14.708	89	3	5945603	3
20220126-8110328927119505845	1	38923	2022-01-26 10:53:38.596	2	2	7896477	3
20220126-7075319602794737924	1	518	2022-01-26 08:45:24.671	2	2	7996640	2
20220126--3796056114066350805	1	32760	2022-01-26 03:02:01.664	1	1	6487566	2
20220126-7631860700600470730	-1	21323	2022-01-26 22:50:49.485	1	1	8583112	1
20220126-1941614757727779228	-1	273	2022-01-26 21:59:42.256	1	1	2576876	2
20220126--3174671423582364115	0	20356	2022-01-26 23:51:49.506	104	3	1289982	4
20220126--5139435875986299382	0	4320	2022-01-26 11:12:42.101	2	2	924774	1
20220126--822403039978713611	1	33407	2022-01-26 13:07:09.369	38	3	8654541	4
20220126--928798192316135302	0	14546	2022-01-26 20:34:58.031	2	2	2141104	2
20220126-7456145445224924955	-1	16573	2022-01-26 18:37:15.552	5	5	5286235	3
20220126--109424994171020716	1	15414	2022-01-26 04:03:23.247	4	4	8825171	1
20220126-2373893614271130748	1	14754	2022-01-26 12:02:32.039	1	1	4790514	2
20220126-66349076905616252	-1	27397	2022-01-26 08:06:47.682	2	2	4615716	4
20220126--8449880050109452344	0	9355	2022-01-26 21:08:26.263	16	3	3481554	3
