transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220216--5165925155066295966	-1	27579	2022-02-16 02:36:41.049	4	4	2990392	4
20220216--4093580676016055431	-1	17990	2022-02-16 17:31:13.643	5	5	8074064	2
20220216-6359447230201078839	1	12391	2022-02-16 22:53:07.747	5	5	7189533	1
20220216-6150487246191854400	1	16334	2022-02-16 02:31:59.245	1	1	8978252	4
20220216-2427863558469898566	0	2763	2022-02-16 00:41:11.443	4	4	2498578	4
20220216--791008254077143801	1	13474	2022-02-16 08:10:18.060	5	5	7617622	4
20220216-3651392548719113193	0	32813	2022-02-16 01:42:17.477	4	4	1004768	1
20220216--984091395281403006	1	28313	2022-02-16 22:12:41.641	4	4	9948549	3
20220216-2700555472972967717	0	26750	2022-02-16 09:27:50.707	2	2	4280542	1
20220216--6616392783633826819	0	31781	2022-02-16 10:02:35.443	27	3	148207	2
20220216--538868608327607341	1	6970	2022-02-16 08:03:20.808	4	4	7590522	3
20220216-9065142721992598425	-1	31412	2022-02-16 06:52:45.910	2	2	8064115	1
20220216--3932523297110644605	0	1765	2022-02-16 01:35:40.839	4	4	4913335	4
20220216-212699713155406381	-1	14457	2022-02-16 21:11:48.864	5	5	6162454	3
20220216--5092934460693335583	-1	19292	2022-02-16 14:11:59.453	1	1	2269936	4
20220216--4291715632611322543	1	13162	2022-02-16 01:08:19.785	2	2	1081785	4
20220216-7292933960024221608	0	31388	2022-02-16 08:50:37.307	4	4	624454	3
20220216-6440844885081877476	0	24874	2022-02-16 09:15:14.060	1	1	389476	2
20220216--2679785314144493597	-1	9753	2022-02-16 03:33:02.522	1	1	8893731	4
20220216-3138907772118720115	0	33110	2022-02-16 12:33:39.915	5	5	1556996	1
20220216--1895115932760117053	1	11246	2022-02-16 20:57:23.401	5	5	2721988	4
20220216--8771427398740141368	0	21923	2022-02-16 18:27:55.029	5	5	68882	2
20220216--5214877526311274332	1	33845	2022-02-16 22:44:34.010	1	1	3260400	1
20220216--9037358685120999062	0	34380	2022-02-16 20:39:34.090	37	3	6775559	2
20220216--12119977607956742	-1	13072	2022-02-16 06:05:41.989	2	2	4787543	4
20220216--5690591193528989177	1	3807	2022-02-16 23:30:33.633	95	3	7497649	2
20220216-1476998913334911460	-1	20843	2022-02-16 11:40:09.842	4	4	9181353	4
20220216--1915856107234729157	0	27034	2022-02-16 17:02:18.404	4	4	8463298	2
20220216--5718701507951350956	1	1945	2022-02-16 06:34:51.892	2	2	1176356	4
20220216--5669675482672287415	1	18961	2022-02-16 11:23:44.193	1	1	1105647	4
20220216-1100922112793739274	-1	19800	2022-02-16 13:13:35.041	2	2	224755	3
20220216--280041002600378458	1	36804	2022-02-16 19:25:32.888	4	4	2592098	1
20220216-2661722370305227130	0	8404	2022-02-16 00:55:00.058	78	3	9760492	4
20220216-1906857992803769505	0	39489	2022-02-16 03:53:02.469	1	1	7898279	1
20220216--6065694556409598346	0	34043	2022-02-16 18:01:40.334	2	2	1144102	3
20220216-33943581212213412	1	12111	2022-02-16 21:34:26.773	2	2	8436188	3
20220216--8950717797587938443	1	31645	2022-02-16 03:03:35.008	11	3	4903146	3
20220216-5400941860130831219	1	29319	2022-02-16 20:04:45.510	5	5	6957785	3
20220216--162939412267011323	1	19893	2022-02-16 12:03:17.604	1	1	2643242	2
20220216-7757083631419096791	-1	23222	2022-02-16 20:02:02.608	2	2	571201	1
20220216--7845058483597591552	1	11721	2022-02-16 05:54:29.415	5	5	516707	3
20220216-9105137468629483107	-1	13404	2022-02-16 15:28:20.292	4	4	8865313	1
20220216-3594855365425368747	1	5267	2022-02-16 23:55:21.869	4	4	1680648	4
20220216--3339485118537315492	1	12731	2022-02-16 13:50:24.518	105	3	3589760	3
20220216-4673909459990631411	1	26511	2022-02-16 12:18:10.434	1	1	3578247	3
20220216-8402686038584527430	-1	19122	2022-02-16 12:33:55.750	5	5	3418233	1
20220216--6792623234661653042	-1	14878	2022-02-16 22:26:04.755	4	4	8277847	4
20220216-1623393242798847040	-1	26019	2022-02-16 18:21:07.767	2	2	9843945	2
20220216-4254528476238722576	1	9234	2022-02-16 07:19:49.029	2	2	6897617	2
20220216--8140545889588591705	1	7091	2022-02-16 08:33:03.473	32	3	41898	1
20220216--7588537625735270072	-1	1931	2022-02-16 20:29:31.976	88	3	664305	1
20220216-8182686300484647878	1	18871	2022-02-16 19:10:05.473	5	5	2024865	1
20220216-3040816263090195243	1	12336	2022-02-16 15:30:51.050	4	4	3539945	1
20220216-4794395813886131668	-1	5685	2022-02-16 16:01:38.172	4	4	9021376	4
