userid	voucherCode	status	campaignID	time
7470	1005-14499	USED	1005	2021-12-19 00:02:00.893
7553	1003-21676	USED	1003	2021-12-25 02:22:45.873
11217	1002-10251	USED	1002	2021-12-18 23:55:43.002
5831	1005-10224	USED	1005	2021-12-07 05:19:56.796
6910	1009-21251	USED	1009	2021-12-09 01:11:09.493
338	1003-29213	USED	1003	2021-12-12 08:58:06.927
15730	1008-7162	USED	1008	2021-12-09 15:41:55.730
4142	1003-20715	USED	1003	2021-12-10 09:27:14.153
19995	1003-12187	USED	1003	2021-12-01 20:17:27.019
2416	1007-21645	USED	1007	2021-12-23 21:25:27.986
6068	1000-3761	USED	1000	2021-12-05 01:09:16.458
19494	1006-17172	USED	1006	2021-12-09 15:10:06.658
19696	1002-17476	USED	1002	2021-12-25 05:47:17.214
11110	1009-8155	USED	1009	2021-12-18 22:10:29.088
14122	1004-17944	USED	1004	2021-12-11 23:46:50.085
8445	1006-10727	USED	1006	2021-12-22 08:12:12.289
7775	1002-11669	USED	1002	2021-12-01 02:01:29.590
5990	1006-16593	USED	1006	2021-12-15 01:04:07.557
17271	1008-16106	USED	1008	2021-12-20 11:39:31.333
15698	1003-29924	USED	1003	2021-12-01 02:46:10.218
4595	1009-14157	USED	1009	2021-12-01 23:51:39.353
16477	1005-3786	USED	1005	2021-12-03 04:58:00.949
3617	1001-22198	USED	1001	2021-12-31 10:39:11.834
17339	1002-24654	USED	1002	2021-12-11 10:37:35.890
10281	1009-22234	USED	1009	2021-12-12 15:55:01.522
8131	1007-21459	USED	1007	2021-12-28 20:07:40.395
8457	1001-22574	USED	1001	2021-12-27 01:52:23.185
10028	1006-3134	USED	1006	2021-12-05 10:57:21.475
10758	1004-9924	USED	1004	2021-12-06 14:05:16.665
14254	1004-513	USED	1004	2021-12-24 05:14:22.837
11733	1006-9491	USED	1006	2021-12-17 11:55:30.656
11472	1008-21598	USED	1008	2021-12-08 23:16:54.773
10458	1003-24502	USED	1003	2021-12-10 07:10:29.978
13625	1006-29476	USED	1006	2021-12-20 21:52:06.841
19897	1003-18880	USED	1003	2021-12-06 17:20:33.074
9534	1004-18963	USED	1004	2021-12-07 17:42:48.288
19068	1007-2043	USED	1007	2021-12-02 01:20:34.533
18036	1009-1344	USED	1009	2021-12-22 19:44:49.126
1224	1000-19630	USED	1000	2021-12-14 05:43:53.000
5579	1001-2997	USED	1001	2021-12-06 11:57:27.390
8621	1001-23071	USED	1001	2021-12-27 02:07:13.514
19554	1005-25221	USED	1005	2021-12-18 12:52:33.113
17966	1007-3760	USED	1007	2021-12-09 02:37:12.418
15780	1001-14271	USED	1001	2021-12-23 16:59:57.573
15880	1000-25109	USED	1000	2021-12-02 07:02:47.453
6227	1006-29079	USED	1006	2021-12-12 06:06:13.799
15009	1003-14192	USED	1003	2021-12-08 13:40:08.934
9303	1005-24473	USED	1005	2021-12-07 09:08:22.900
18311	1002-3081	USED	1002	2021-12-19 21:51:15.975
9023	1009-2392	USED	1009	2021-12-08 06:47:03.924
11098	1007-1510	USED	1007	2021-12-20 07:30:23.440
12399	1006-11342	USED	1006	2021-12-09 00:51:29.727
6909	1009-10458	USED	1009	2021-12-14 23:47:12.042
17534	1003-24695	USED	1003	2021-12-08 11:54:20.740
12269	1001-12146	USED	1001	2021-12-27 11:25:41.177
6283	1006-17	USED	1006	2021-12-18 00:30:25.775
6287	1006-7664	USED	1006	2021-12-31 11:12:15.203
14550	1003-27424	USED	1003	2021-12-28 20:21:37.908
1478	1009-12969	USED	1009	2021-12-12 07:16:22.082
6098	1002-9319	USED	1002	2021-12-18 20:03:27.380
4515	1006-6520	USED	1006	2021-12-03 15:36:50.488
16865	1008-25960	USED	1008	2021-12-29 03:40:04.231
10663	1004-20335	USED	1004	2021-12-04 18:26:55.027
7277	1007-516	USED	1007	2021-12-20 10:50:14.687
16742	1009-13472	USED	1009	2021-12-21 12:17:06.066
2476	1009-4494	USED	1009	2021-12-29 06:33:21.437
4484	1006-18403	USED	1006	2021-12-11 06:34:06.233
10403	1003-21961	USED	1003	2021-12-06 04:18:41.981
9822	1005-16599	USED	1005	2021-12-19 21:57:35.181
6121	1006-5057	USED	1006	2021-12-20 07:06:31.800
4327	1003-20723	USED	1003	2021-12-08 16:42:36.681
19478	1005-8131	USED	1005	2021-12-26 17:36:18.255
14082	1000-24564	USED	1000	2021-12-02 19:02:11.261
16485	1002-26725	USED	1002	2021-12-23 03:33:46.816
12709	1003-24525	USED	1003	2021-12-05 23:45:20.729
8584	1003-15769	USED	1003	2021-12-05 22:24:51.790
9450	1002-8040	USED	1002	2021-12-17 04:18:03.050
3653	1006-9461	USED	1006	2021-12-06 22:11:57.752
1349	1000-4200	USED	1000	2021-12-01 07:02:44.754
8452	1002-6739	USED	1002	2021-12-21 22:31:55.936
2114	1002-6777	USED	1002	2021-12-31 11:23:34.028
6477	1007-27092	USED	1007	2021-12-31 12:44:28.253
11454	1008-17398	USED	1008	2021-12-25 12:38:06.574
7777	1004-20644	USED	1004	2021-12-11 14:11:59.329
18048	1007-29002	USED	1007	2021-12-02 16:21:06.557
11570	1007-10218	USED	1007	2021-12-04 02:38:32.103
12550	1007-22716	USED	1007	2021-12-11 10:30:52.797
13648	1005-2228	USED	1005	2021-12-12 23:45:38.429
7471	1003-25156	USED	1003	2021-12-31 17:52:09.765
8469	1007-7320	USED	1007	2021-12-15 17:09:34.434
5992	1007-7564	USED	1007	2021-12-11 18:08:58.778
19219	1000-23451	USED	1000	2021-12-30 06:11:48.074
2262	1006-10705	USED	1006	2021-12-08 20:43:25.953
19479	1002-1405	USED	1002	2021-12-18 02:14:47.817
1958	1007-21612	USED	1007	2021-12-23 20:20:22.323
16279	1009-368	USED	1009	2021-12-07 16:23:16.472
14656	1007-8133	USED	1007	2021-12-17 07:58:16.735
12413	1004-23492	USED	1004	2021-12-23 15:57:17.007
3550	1001-16391	USED	1001	2021-12-17 15:32:25.610
9336	1003-2347	USED	1003	2021-12-15 10:34:42.523
15709	1000-11870	USED	1000	2021-12-06 02:25:38.821
7310	1008-9284	USED	1008	2021-12-11 23:12:50.356
7944	1006-14473	USED	1006	2021-12-28 04:12:22.620
19097	1004-7433	USED	1004	2021-12-12 08:55:32.937
5355	1000-8033	USED	1000	2021-12-12 22:51:33.051
8708	1003-19467	USED	1003	2021-12-09 18:48:15.917
12087	1001-25455	USED	1001	2021-12-13 03:09:47.925
18517	1009-10985	USED	1009	2021-12-12 23:19:34.642
15735	1001-13142	USED	1001	2021-12-14 19:34:59.735
14311	1000-14509	USED	1000	2021-12-17 21:40:38.880
797	1007-929	USED	1007	2021-12-25 01:29:19.891
2453	1002-29558	USED	1002	2021-12-28 20:38:52.938
13588	1007-15625	USED	1007	2021-12-11 18:10:12.433
13297	1008-10033	USED	1008	2021-12-22 19:34:01.212
18129	1009-23764	USED	1009	2021-12-30 13:35:35.923
14470	1008-22435	USED	1008	2021-12-10 09:30:53.324
14267	1005-15532	USED	1005	2021-12-02 14:39:38.125
9797	1003-3324	USED	1003	2021-12-23 16:28:02.586
14470	1002-9571	USED	1002	2021-12-09 19:42:42.899
16023	1008-27015	USED	1008	2021-12-25 05:33:26.756
7679	1001-24585	USED	1001	2021-12-20 03:39:00.465
8786	1005-17845	USED	1005	2021-12-09 16:27:50.507
17922	1003-8226	USED	1003	2021-12-04 23:24:46.573
4498	1003-13054	USED	1003	2021-12-03 01:18:02.563
2461	1007-5063	USED	1007	2021-12-26 07:08:14.712
2036	1007-28917	USED	1007	2021-12-22 09:11:45.262
7751	1001-20266	USED	1001	2021-12-27 07:25:46.990
10613	1009-4217	USED	1009	2021-12-08 13:02:33.987
1459	1004-27229	USED	1004	2021-12-29 16:40:15.846
13514	1004-13108	USED	1004	2021-12-08 12:10:51.496
12417	1007-15834	USED	1007	2021-12-25 14:34:58.465
652	1005-20330	USED	1005	2021-12-31 07:29:00.342
5273	1000-19639	USED	1000	2021-12-23 03:37:38.286
15841	1008-14140	USED	1008	2021-12-06 04:05:30.570
18059	1001-29137	USED	1001	2021-12-15 10:10:41.773
14709	1008-23893	USED	1008	2021-12-03 03:51:28.339
6665	1001-22698	USED	1001	2021-12-29 16:26:01.034
14937	1004-2084	USED	1004	2021-12-04 01:45:20.293
14357	1003-129	USED	1003	2021-12-11 09:41:13.216
14876	1002-7560	USED	1002	2021-12-28 02:17:12.155
15331	1004-24396	USED	1004	2021-12-01 05:48:20.089
18912	1009-971	USED	1009	2021-12-26 16:17:44.589
12153	1004-29813	USED	1004	2021-12-26 04:13:48.146
11304	1001-18593	USED	1001	2021-12-15 14:07:20.046
6033	1007-8551	USED	1007	2021-12-13 10:44:03.161
8379	1003-3256	USED	1003	2021-12-30 01:00:41.649
17802	1003-3472	USED	1003	2021-12-31 12:10:49.414
19005	1005-3621	USED	1005	2021-12-12 08:57:04.480
19142	1005-20704	USED	1005	2021-12-27 12:47:31.993
4713	1006-26072	USED	1006	2021-12-18 12:35:19.712
978	1009-2782	USED	1009	2021-12-28 19:56:05.802
13829	1009-17684	USED	1009	2021-12-13 19:50:45.474
3833	1006-27405	USED	1006	2021-12-29 20:38:33.729
4452	1000-24159	USED	1000	2021-12-12 16:14:49.020
14817	1002-15507	USED	1002	2021-12-23 15:48:47.458
7497	1005-21835	USED	1005	2021-12-21 12:45:14.236
17069	1005-20172	USED	1005	2021-12-10 11:07:53.873
11310	1001-24510	USED	1001	2021-12-12 00:01:02.899
12379	1004-29253	USED	1004	2021-12-12 13:07:07.930
17084	1004-14625	USED	1004	2021-12-16 07:33:34.723
3401	1002-29918	USED	1002	2021-12-27 15:31:43.240
4575	1001-10968	USED	1001	2021-12-06 00:39:10.488
18632	1004-609	USED	1004	2021-12-09 15:34:04.541
14299	1004-7165	USED	1004	2021-12-07 16:14:40.824
9123	1004-9913	USED	1004	2021-12-11 19:44:27.576
1765	1001-29190	USED	1001	2021-12-01 04:29:50.575
5994	1008-15605	USED	1008	2021-12-18 01:16:50.584
10380	1005-23154	USED	1005	2021-12-02 15:55:29.114
4227	1008-27842	USED	1008	2021-12-04 17:05:29.809
11401	1003-25200	USED	1003	2021-12-30 06:57:43.160
10320	1000-16201	USED	1000	2021-12-24 03:07:19.587
14038	1008-12884	USED	1008	2021-12-19 18:41:27.914
11832	1006-7199	USED	1006	2021-12-11 23:36:15.010
10342	1005-19416	USED	1005	2021-12-14 11:02:49.686
14525	1006-13875	USED	1006	2021-12-12 13:24:00.815
2473	1007-2389	USED	1007	2021-12-06 19:28:08.785
4466	1007-29591	USED	1007	2021-12-04 00:09:47.995
16044	1008-16226	USED	1008	2021-12-18 10:00:13.499
15361	1007-763	USED	1007	2021-12-14 19:44:32.158
