userid	voucherCode	status	campaignID	time
7595	1106-39282	USED	1106	2022-02-18 16:20:19.663
12180	1100-25035	USED	1100	2022-02-02 22:55:07.230
22572	1102-33304	USED	1102	2022-02-20 20:28:17.790
31468	1101-49235	USED	1101	2022-02-14 09:44:53.776
37926	1104-18554	USED	1104	2022-02-20 04:19:18.431
4257	1101-26355	USED	1101	2022-02-11 07:16:00.163
25706	1102-42377	USED	1102	2022-02-07 09:19:38.503
30050	1109-9826	USED	1109	2022-02-01 12:03:30.727
18371	1106-28853	USED	1106	2022-02-18 10:56:27.296
5658	1108-3347	USED	1108	2022-02-01 16:46:30.470
24992	1101-662	USED	1101	2022-02-12 21:33:26.278
26114	1101-24506	USED	1101	2022-02-12 06:56:09.653
22269	1102-30506	USED	1102	2022-02-13 23:33:25.656
28218	1107-39498	USED	1107	2022-02-04 17:21:54.479
13253	1109-8303	USED	1109	2022-02-15 14:03:07.647
90	1100-33781	USED	1100	2022-02-01 08:54:00.283
21513	1107-46255	USED	1107	2022-02-09 07:53:32.168
19197	1103-45466	USED	1103	2022-02-10 07:46:44.432
37033	1100-46186	USED	1100	2022-02-01 05:22:21.004
29744	1107-34321	USED	1107	2022-02-14 12:56:47.226
972	1108-42634	USED	1108	2022-02-11 18:40:16.119
13256	1108-40744	USED	1108	2022-02-04 12:48:04.931
31963	1104-21670	USED	1104	2022-02-15 19:46:08.878
23551	1100-1721	USED	1100	2022-02-04 01:33:33.620
37571	1108-41933	USED	1108	2022-02-07 10:29:02.285
39656	1107-33600	USED	1107	2022-02-02 15:02:05.635
31696	1103-19817	USED	1103	2022-02-19 01:58:49.606
19587	1103-30355	USED	1103	2022-02-10 06:23:55.954
30031	1109-4415	USED	1109	2022-02-12 06:16:26.111
37170	1108-11060	USED	1108	2022-02-17 23:06:31.481
32294	1104-45409	USED	1104	2022-02-05 18:34:23.813
9459	1101-26776	USED	1101	2022-02-12 18:04:29.505
38819	1100-9887	USED	1100	2022-02-08 17:34:42.456
4062	1103-27935	USED	1103	2022-02-01 02:40:43.328
32723	1102-15773	USED	1102	2022-02-01 03:07:58.185
35502	1106-46311	USED	1106	2022-02-18 12:46:23.792
15444	1107-19523	USED	1107	2022-02-10 11:23:17.793
33611	1109-48468	USED	1109	2022-02-15 18:29:37.798
38007	1102-20619	USED	1102	2022-02-12 12:07:22.039
37548	1108-9751	USED	1108	2022-02-02 09:45:51.897
29958	1102-45449	USED	1102	2022-02-03 19:12:18.194
9086	1104-30344	USED	1104	2022-02-04 12:54:29.821
24320	1108-20787	USED	1108	2022-02-07 07:50:41.372
4713	1103-34215	USED	1103	2022-02-08 03:15:41.998
6708	1102-38056	USED	1102	2022-02-12 09:41:49.473
35337	1100-7618	USED	1100	2022-02-18 02:35:36.500
14663	1105-11528	USED	1105	2022-02-17 09:35:11.285
28137	1105-8562	USED	1105	2022-02-15 11:00:04.809
14924	1101-18161	USED	1101	2022-02-04 11:50:27.899
26405	1103-16094	USED	1103	2022-02-10 19:45:53.490
37890	1109-39679	USED	1109	2022-02-10 17:44:41.007
28169	1103-5037	USED	1103	2022-02-14 10:18:10.731
32118	1104-13894	USED	1104	2022-02-03 20:42:55.182
5717	1101-31691	USED	1101	2022-02-15 12:26:10.557
10969	1100-26186	USED	1100	2022-02-09 06:56:47.878
27479	1104-24715	USED	1104	2022-02-12 00:38:45.836
23031	1100-17042	USED	1100	2022-02-12 18:19:11.554
321	1107-32340	USED	1107	2022-02-13 22:58:38.329
28795	1106-25439	USED	1106	2022-02-08 11:47:46.238
5815	1100-46256	USED	1100	2022-02-09 20:14:19.980
21073	1108-10460	USED	1108	2022-02-07 12:47:53.731
9214	1101-33898	USED	1101	2022-02-14 17:28:21.882
26548	1106-43497	USED	1106	2022-02-20 12:18:52.942
6513	1102-38362	USED	1102	2022-02-18 19:15:53.323
27609	1106-17509	USED	1106	2022-02-16 22:56:03.988
13086	1102-10521	USED	1102	2022-02-05 14:41:11.337
35229	1109-18433	USED	1109	2022-02-11 12:48:12.571
9292	1106-33366	USED	1106	2022-02-09 13:39:23.321
17523	1106-17356	USED	1106	2022-02-08 23:18:23.704
4059	1102-10371	USED	1102	2022-02-14 00:59:06.000
38601	1105-36768	USED	1105	2022-02-10 09:12:48.593
15804	1108-37724	USED	1108	2022-02-13 12:31:59.315
20230	1100-8018	USED	1100	2022-02-10 13:41:01.749
13598	1102-43981	USED	1102	2022-02-20 16:28:26.406
34554	1107-22080	USED	1107	2022-02-15 10:57:15.772
28688	1104-23562	USED	1104	2022-02-13 06:45:59.586
33138	1107-30119	USED	1107	2022-02-16 22:30:28.405
7692	1102-9784	USED	1102	2022-02-05 18:16:58.185
21563	1104-4637	USED	1104	2022-02-01 12:42:41.062
19064	1102-12738	USED	1102	2022-02-10 04:25:20.572
15388	1104-19940	USED	1104	2022-02-05 21:20:28.031
