transId	transStatus	userId	transactionTime	appId	transType	amount	pmcId
20220212-1821091172321662196	1	25740	2022-02-12 06:27:06.044	4	4	7745056	3
20220212--5894645069066734324	0	29225	2022-02-12 13:25:13.071	1	1	8257677	4
20220212--4505969055641557358	0	3140	2022-02-12 06:11:44.354	2	2	5951644	1
20220212-3559279861753486576	-1	23234	2022-02-12 15:07:36.351	4	4	162909	1
20220212--6315911658614292894	-1	28833	2022-02-12 14:40:38.735	22	3	1964363	1
20220212--5489274489150546066	1	28647	2022-02-12 23:28:58.478	2	2	2651019	4
20220212--959855712557862479	0	5109	2022-02-12 14:06:38.928	82	3	3001440	1
20220212--2575440686613181823	0	22872	2022-02-12 00:25:32.691	61	3	5022632	4
20220212--1610905258805436692	-1	31932	2022-02-12 06:58:26.635	5	5	3957056	2
20220212--7411001244725960262	0	4018	2022-02-12 09:01:08.047	1	1	2693469	3
20220212-1102463125953932473	0	3929	2022-02-12 05:52:07.397	4	4	6654998	2
20220212--2627197235901235300	1	39728	2022-02-12 15:37:02.898	4	4	1397338	1
20220212--1381659642491906278	1	13261	2022-02-12 21:11:08.191	2	2	649105	2
20220212--5044300287871238305	-1	36288	2022-02-12 12:36:25.979	2	2	3686428	2
20220212--5290049505323792912	-1	25546	2022-02-12 02:46:59.896	66	3	3482019	3
20220212-4101850455035063603	1	24357	2022-02-12 00:40:42.401	2	2	3939097	1
20220212--3070301636398032176	0	28834	2022-02-12 16:42:07.496	1	1	9172753	1
20220212-3538805053726074873	-1	11424	2022-02-12 08:20:50.689	4	4	4260422	3
20220212-1899695669619278701	0	21860	2022-02-12 20:53:01.025	2	2	7630207	3
20220212-7173464408112612523	1	8812	2022-02-12 20:24:34.723	4	4	5169056	4
20220212-6604214595463804160	1	2120	2022-02-12 12:49:54.511	1	1	3370516	2
20220212--8018800505139566051	0	31749	2022-02-12 21:03:32.070	4	4	1197871	1
20220212-5756820420300037533	-1	33377	2022-02-12 16:55:24.363	4	4	6569320	2
20220212--6769097214225574188	1	12985	2022-02-12 08:56:12.549	1	1	3231477	3
20220212--6096314894844873597	0	22685	2022-02-12 03:40:25.086	4	4	3525257	2
20220212-3966150676505833782	-1	24986	2022-02-12 14:49:40.888	1	1	6788991	4
20220212--2194620573016840910	-1	37056	2022-02-12 19:03:00.076	5	5	1596900	2
20220212-8386725659874104306	-1	38658	2022-02-12 01:39:51.367	98	3	9114565	2
20220212--1475810859433043093	0	10943	2022-02-12 06:42:32.408	1	1	9728397	1
20220212-5682801774689526885	0	551	2022-02-12 04:45:19.158	2	2	4879640	2
20220212--7756559094635223723	0	27013	2022-02-12 03:55:43.613	2	2	8875493	2
20220212--7137211280329277254	-1	23138	2022-02-12 18:15:36.180	4	4	9129834	3
20220212--930301698623403516	-1	39558	2022-02-12 06:41:28.371	2	2	245443	3
20220212-3938233640427143160	1	958	2022-02-12 17:49:30.523	4	4	7894183	2
20220212--1103822437452070872	0	34024	2022-02-12 23:42:52.867	4	4	9838855	3
