userid	voucherCode	status	campaignID	time
2603	1008-5793	USED	1008	2021-12-05 08:33:05.001
10197	1008-1043	USED	1008	2021-12-14 15:51:10.004
2302	1001-28426	USED	1001	2021-12-16 22:11:45.434
2849	1008-7648	USED	1008	2021-12-18 02:53:11.266
5031	1009-23692	USED	1009	2021-12-17 12:05:13.417
1881	1006-15575	USED	1006	2021-12-29 07:05:26.780
2184	1005-11666	USED	1005	2021-12-25 21:26:45.082
5733	1007-19483	USED	1007	2021-12-18 14:38:37.423
6624	1000-20797	USED	1000	2021-12-24 20:41:29.512
5511	1008-14713	USED	1008	2021-12-26 21:09:31.925
10402	1002-4008	USED	1002	2021-12-25 14:18:34.134
2280	1003-2058	USED	1003	2021-12-19 10:05:55.456
19000	1004-23752	USED	1004	2021-12-03 19:03:52.749
166	1001-11156	USED	1001	2021-12-19 12:51:36.437
6511	1002-16481	USED	1002	2021-12-24 13:29:16.855
7081	1004-13893	USED	1004	2021-12-10 08:43:10.140
673	1003-6927	USED	1003	2021-12-24 23:18:26.729
8765	1001-3571	USED	1001	2021-12-13 16:31:49.700
11524	1006-28347	USED	1006	2021-12-30 04:51:43.897
5290	1002-4443	USED	1002	2021-12-25 00:58:10.696
10483	1001-6326	USED	1001	2021-12-27 09:19:38.463
5694	1005-4959	USED	1005	2021-12-28 07:42:01.540
16548	1005-10403	USED	1005	2021-12-18 20:55:35.580
6793	1008-24318	USED	1008	2021-12-25 16:51:18.688
12369	1000-19984	USED	1000	2021-12-04 20:51:10.234
15360	1005-29207	USED	1005	2021-12-31 02:10:34.301
8198	1005-3501	USED	1005	2021-12-12 21:19:47.182
8854	1005-25439	USED	1005	2021-12-08 06:49:57.876
14013	1002-6937	USED	1002	2021-12-23 06:58:02.976
17802	1001-16306	USED	1001	2021-12-24 03:57:45.338
18237	1007-15766	USED	1007	2021-12-10 08:51:04.577
9388	1002-8489	USED	1002	2021-12-11 16:55:19.818
6932	1007-12945	USED	1007	2021-12-09 03:02:42.402
12479	1008-13399	USED	1008	2021-12-24 21:40:45.379
7288	1007-6108	USED	1007	2021-12-09 23:04:00.370
7380	1003-11978	USED	1003	2021-12-20 00:02:12.631
8049	1003-29411	USED	1003	2021-12-10 20:26:16.104
17157	1001-17456	USED	1001	2021-12-02 05:21:06.555
20000	1005-5491	USED	1005	2021-12-01 18:15:45.178
722	1006-24558	USED	1006	2021-12-19 02:55:29.029
5723	1008-19676	USED	1008	2021-12-18 12:41:26.310
12175	1005-5890	USED	1005	2021-12-16 13:12:58.915
3862	1002-19679	USED	1002	2021-12-29 13:34:12.096
2001	1002-13958	USED	1002	2021-12-08 12:50:27.712
13448	1007-11285	USED	1007	2021-12-11 23:48:18.245
6796	1003-12676	USED	1003	2021-12-29 17:45:01.192
2419	1006-25462	USED	1006	2021-12-11 13:01:10.278
14649	1009-14933	USED	1009	2021-12-17 01:54:40.606
19619	1003-1492	USED	1003	2021-12-21 00:42:09.947
11848	1007-10576	USED	1007	2021-12-11 05:23:54.653
7812	1000-19605	USED	1000	2021-12-22 11:40:42.549
4848	1009-6206	USED	1009	2021-12-15 06:48:19.339
308	1007-22463	USED	1007	2021-12-23 08:11:03.320
10793	1003-26222	USED	1003	2021-12-23 20:30:55.598
19013	1009-23826	USED	1009	2021-12-24 04:38:16.688
12907	1006-13486	USED	1006	2021-12-07 05:51:05.050
12585	1006-26382	USED	1006	2021-12-29 14:32:57.883
9253	1006-24447	USED	1006	2021-12-24 09:58:31.516
4518	1003-20358	USED	1003	2021-12-14 07:40:42.931
6660	1000-12016	USED	1000	2021-12-03 09:33:19.139
11825	1002-2831	USED	1002	2021-12-26 00:09:24.273
5255	1002-6668	USED	1002	2021-12-02 10:42:18.575
8265	1004-5280	USED	1004	2021-12-01 14:05:10.081
4740	1006-21274	USED	1006	2021-12-14 20:49:12.214
7463	1003-17517	USED	1003	2021-12-05 11:47:14.160
15466	1000-14176	USED	1000	2021-12-31 16:45:43.765
17277	1006-20259	USED	1006	2021-12-08 12:16:27.839
1407	1009-22127	USED	1009	2021-12-26 21:17:08.314
17783	1002-9948	USED	1002	2021-12-16 14:41:56.052
6219	1008-14636	USED	1008	2021-12-07 13:45:26.982
6872	1001-25756	USED	1001	2021-12-05 15:07:25.987
1899	1002-14180	USED	1002	2021-12-05 00:49:28.605
6210	1001-9712	USED	1001	2021-12-22 02:18:27.854
12474	1008-14859	USED	1008	2021-12-10 13:28:00.178
4482	1007-11274	USED	1007	2021-12-18 03:12:48.803
11647	1000-29792	USED	1000	2021-12-13 17:55:24.679
17485	1004-18231	USED	1004	2021-12-23 18:33:59.089
13312	1008-12301	USED	1008	2021-12-01 14:21:21.628
9111	1000-10351	USED	1000	2021-12-18 12:37:40.302
7239	1008-9124	USED	1008	2021-12-03 09:47:11.968
7122	1007-5693	USED	1007	2021-12-07 08:36:25.007
16708	1008-11157	USED	1008	2021-12-16 04:19:22.616
18872	1008-2424	USED	1008	2021-12-06 03:12:20.640
14644	1007-17930	USED	1007	2021-12-10 15:44:36.799
12013	1009-29509	USED	1009	2021-12-07 00:56:22.665
15100	1007-26325	USED	1007	2021-12-13 16:44:56.615
13392	1006-20757	USED	1006	2021-12-12 12:31:41.417
18847	1000-9634	USED	1000	2021-12-01 20:24:03.613
5711	1008-13559	USED	1008	2021-12-19 21:14:10.555
6993	1008-16088	USED	1008	2021-12-05 11:47:41.213
